"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Brazil","BRA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","72000","82000","93000","103000","114000","124000","134500","145000","155400","165870","183500","201000","218500","236000","323113","350000","370000","428000","485000","545205","569000","593000","617000","641000","666309","678803","691297","703790","716285","728779","741272","753766","766260","778754","791248","803742","802173","800604","799035","797466","795898","794329","792760","791191","789622","788053","","","","","","","","","","","","","","","","",
"Barbados","BRB","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","290","300","310","319","350","370","380","400","410","415","420","425","430","435","440","450","460","470","480","490","500","510","520","530","540","550","560","570","577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","5","5","5","5","5","5","5","6","8","10","12","13","20","27","34","40","48","55","62","72","72","72","72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","10","15","20","30","30","40","50","60","70","80","90","100","106","110","112","115","117","117","117","120","123","126","129","132","136","","","","","","","","","","","","","","",
"Botswana","BWA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","550","600","700","900","1200","1350","1450","1500","1544","1600","1650","1700","1750","1800","1850","1900","1950","2000","2050","2150","2290","2460","2570","2710","2870","3010","3150","4650","5000","5900","4010","3867","3850","3800","3750","3700","3669","3357","3648","2688","3165","3133","2957","3068","2913","2816","2835","3371","","","","","","","","","","","","","","",
"Central African Republic","CAF","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","15","17","20","23","25","27","30","36","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","549789","558379","567963","577593","586905","597940","597162","596825","596634","596426","596244","605118","615822","617328","625840","634481","645623","656897","657100","657400","657606","672000","686000","700000","714000","728074","742200","756300","770400","750000","734149","730000","725000","720000","715000","711335","715000","719000","724000","729000","732521","732650","732780","732915","733050","733182","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1728622","1834979","1998807","2007114","2007898","2024673","2026827","2025790","2059890","2058827","2106529","2108087","2104545","2178168","2023844","2053109","","","","","","","","","","","","","","","",
"Switzerland","CHE","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","53600","55700","57800","59900","62159","64600","67000","69400","71909","74100","76300","78500","80700","82900","85078","87300","89500","91700","93900","96112","97900","99700","101500","103300","104994","106900","108800","110700","112600","114386","114000","113600","113200","112800","112400","112008","111400","110800","110200","109600","109000","108400","107828","107400","107000","106600","106200","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","33550","33600","33650","33700","33750","33800","33850","33900","33950","34000","34050","34100","34150","34200","34300","34407","34400","34395","34385","34380","34370","34365","34360","34350","34340","37920","41270","37450","36620","35750","37570","39900","41710","41312","43201","44265","53710","53730","53750","53770","53790","53810","53830","53850","53870","53890","53915","","","","","","","","","","","","","","","",
